year,area,tstep,sex,min,max,bio
2014,2,2 3 4 5 6,F,77,105,tar
2015,2,2 3 4 5 6,F,76,105,tar
2016,2,2 3 4 5 6,F,76,200,tar
1993,2 4 6 8,2 3 4 5 6,M,76,200,none
1994,2 4 6 8,2 3 4 5 6,M,76,200,none
1995,2 4 6 8,2 3 4 5 6,M,76,200,none
1996,2 4 6 8,2 3 4 5 6,M,76,200,none
1997,2 4 6 8,2 3 4 5 6,M,76,200,none
1998,2 4 6 8,2 3 4 5 6,M,76,200,none
1999,2 4 6 8,2 3 4 5 6,M,76,200,none
2000,2 4 6 8,2 3 4 5 6,M,76,200,none
2001,2 4 6 8,2 3 4 5 6,M,76,200,none
2002,2 4 6 8,2 3 4 5 6,M,76,200,none
2003,2 4 6 8,2 3 4 5 6,M,76,200,none
2004,2 4 6 8,2 3 4 5 6,M,76,200,none
2005,2 4 6 8,2 3 4 5 6,M,76,200,none
2006,2 4 6 8,2 3 4 5 6,M,76,200,none
2007,2 4 6 8,2 3 4 5 6,M,76,200,none
2008,2 4 6 8,2 3 4 5 6,M,76,200,none
