lat	lon
-19.65178	115.55549
-19.65178	115.5469
-19.65178	115.54403
-19.65044	115.5025
-19.65313	115.49964
-19.67065	115.43663
-19.672	115.43806
-19.72859	115.37935
-19.73128	115.37935
-19.78653	115.33638
-19.79057	115.33495
-19.84043	115.29915
-19.84447	115.29915
-19.88894	115.27051
-19.89702	115.26478
-19.94149	115.22611
-19.94284	115.22325
-19.99	115.15021
-20.0412	115.10152
-20.04255	115.10152
-20.0951	115.05856
-20.0951	115.05999
-20.16248	115.00557
-20.19481	114.97295
-20.2312	114.96
-20.23254	114.95568
-20.26354	114.92115
-20.26623	114.91971
-20.30126	114.90245
-20.308	114.90101
-20.35516	114.88087
-20.36055	114.87943
-20.3646	114.87799
-20.38885	114.87511
-20.39559	114.87367
-20.40367	114.86792
-20.41041	114.8636
-20.4158	114.85929
-20.41849	114.85785
-20.42523	114.85209
-20.42927	114.85209
-20.467	114.83627
-20.47105	114.83627
-20.52629	114.82332
-20.53034	114.82332
-20.58828	114.79886
-20.59232	114.79886
-20.65565	114.77584
-20.65565	114.77728
-20.69338	114.77296
-20.69607	114.7744
-20.71494	114.77871
-20.75671	114.75282
-20.75941	114.75282
-20.81196	114.74131
-20.81465	114.74418
-20.86047	114.73555
-20.86316	114.73699
-20.91436	114.73699
-20.9777	114.74057
-20.98039	114.74057
-21.0006	114.73913
-21.06528	114.66972
-21.07202	114.66394
-21.07876	114.6596
-21.08415	114.65237
-21.08954	114.65093
-21.14209	114.62346
-21.14344	114.62056
-21.19329	114.56417
-21.19733	114.55839
-21.20003	114.55405
-21.23372	114.4832
-21.23911	114.47453
-21.27953	114.42392
-21.28223	114.41814
-21.32804	114.35452
-21.33478	114.34584
-21.34151	114.33572
-21.34556	114.33139
-21.36307	114.30247
-21.36981	114.29813
-21.41562	114.24174
-21.41832	114.23306
-21.4291	114.19836
-21.43449	114.19692
-21.46548	114.17234
-21.46818	114.16511
-21.47087	114.16077
-21.48704	114.1333
-21.67164	114.14487
-21.48435	114.13326
-21.51534	114.09699
-21.51668	114.09699
-21.56115	114.10424
-21.60697	114.06507
-21.60697	114.06362
-21.68512	113.95917
-21.80235	113.87648
-21.80235	113.87793
-21.89667	113.85182
-21.96809	113.82135
-22.03546	113.80249
-22.09071	113.80249
-22.09206	113.80249
-22.13922	113.78654
-22.22546	113.74608
-22.32652	113.70672
-22.40871	113.66591
-22.41006	113.66591
-22.49091	113.628
-22.49495	113.62509
-22.58254	113.57115
-22.68225	113.52013
-22.75771	113.48368
-22.7604	113.48368
-22.79139	113.45598
-22.79139	113.45744
-22.82912	113.45161
-22.90728	113.4099
-22.95713	113.39963
-23.00699	113.3703
-23.07841	113.3483
-23.0811	113.3483
-23.13365	113.33071
-23.22528	113.28818
-23.35329	113.22512
-23.44222	113.16793
-23.44357	113.16793
-23.53116	113.10633
-23.57293	113.07847
-23.63895	113.01834
-23.76696	112.91212
-23.88958	112.80893
-23.88958	112.80893
-23.94483	112.75143
-24.03915	112.68952
-24.03915	112.68804
-24.17525	112.58927
-24.27631	112.51999
-24.27766	112.51999
-24.31673	112.49935
-24.438	112.42518
-24.55523	112.3718
-24.55523	112.37329
-24.59027	112.35253
-24.59027	112.35253
-24.65225	112.33325
-24.78296	112.28877
-25.0538	112.24133
-25.20067	112.23172
-25.29904	112.22277
-25.36237	112.22724
-25.44591	112.22575
-25.44726	112.22575
-25.5335	112.22426
-25.59683	112.24663
-25.63052	112.23023
-25.72754	112.26005
-25.85285	112.28188
-25.85285	112.28338
-25.87441	112.29689
-25.88384	112.29689
-25.92022	112.29839
-25.92292	112.29839
-25.96065	112.31491
-25.96199	112.31791
-26.00377	112.31641
-26.00646	112.31641
-26.03611	112.34493
-26.03611	112.34343
-26.15064	112.39447
-26.15603	112.39447
-26.21262	112.40498
-26.23284	112.438
-26.36893	112.50706
-26.37432	112.51006
-26.44035	112.54008
-26.48347	112.58362
-26.48616	112.58362
-26.51581	112.57461
-26.51715	112.57461
-26.88771	112.77796
-26.92679	112.76438
-26.92948	112.7674
-26.94565	112.79456
-26.94565	112.79607
-27.02111	112.83531
-27.0238	112.83531
-27.07501	112.8338
-27.0777	112.83531
-27.11004	112.85191
-27.11274	112.85191
-27.15316	112.89138
-27.24209	112.902
-27.24614	112.90352
-27.30947	112.92478
-27.31216	112.9263
-27.36471	112.95667
-27.36876	112.95819
-27.40649	112.9673
-27.43209	112.99007
-27.43343	112.99007
-27.49542	113.00526
-27.53315	113.03866
-27.80129	113.12217
-27.84711	113.14728
-27.87541	113.18093
-27.87675	113.18398
-27.90505	113.20998
-27.90909	113.20998
-27.94952	113.19622
-27.99937	113.23751
-28.00072	113.23751
-28.04923	113.20692
-28.07214	113.2528
-28.07348	113.2528
-28.12334	113.2895
-28.12469	113.2895
-28.20688	113.31243
-28.20958	113.31396
-28.3295	113.36748
-28.33355	113.36443
-28.36589	113.36137
-28.39283	113.37513
-28.39553	113.37666
-28.40631	113.40418
-28.44539	113.43477
-28.45617	113.43783
-28.58552	113.50052
-28.69467	113.57635
-28.69736	113.57635
-28.83481	113.65627
-28.83481	113.6578
-28.94126	113.74694
-28.94126	113.7454
-28.98842	113.77614
-28.98976	113.77614
-29.0531	113.82531
-29.05579	113.82685
-29.13664	113.89754
-29.24713	113.98838
-29.24848	113.98838
-29.3428	114.05637
-29.44252	114.129
-29.44386	114.129
-29.52202	114.17536
-29.52606	114.17536
-29.57322	114.21244
-29.57457	114.21399
-29.64329	114.27116
-29.64464	114.27116
-29.68506	114.30979
-29.80094	114.36959
-29.80498	114.37426
-29.95725	114.47395
-30.10143	114.52692
-30.10412	114.52692
-30.29277	114.58611
-30.46659	114.63284
-30.56496	114.66389
-30.569	114.66546
-30.68623	114.70468
-30.68893	114.70782
-30.82502	114.76116
-30.82772	114.76116
-31.00154	114.85058
-31.07835	114.87568
-31.18614	114.92274
-31.18614	114.92588
-31.22118	114.9409
-31.22253	114.9409
-31.32763	114.9409
-31.47046	114.98042
-31.47181	114.982
-31.5001	114.98359
-31.50684	114.98517
-31.5284	114.98517
-31.5311	114.98675
-31.56209	114.99623
-31.56478	114.99623
-31.60251	114.99465
-31.60386	114.99307
-31.63216	115.00414
-31.64294	114.98833
-31.64294	114.98517
-31.66045	114.97094
-31.66315	114.97094
-31.67797	114.9741
-31.68471	114.97726
-31.69953	114.99307
-31.70223	114.99939
-31.70762	115.01204
-31.70762	115.01836
-31.7157	115.02785
-31.71705	115.02785
-31.72648	115.02785
-31.73187	115.02627
-31.75343	115.02153
-31.75612	115.02153
-31.78981	115.04682
-31.79251	115.04682
-31.80059	115.0563
-31.80598	115.06263
-31.81946	115.08002
-31.82619	115.08318
-31.83024	115.09108
-31.84371	115.11005
-31.8491	115.1148
-31.8491	115.11638
-31.86392	115.13377
-31.86662	115.13377
-31.88818	115.14009
-31.89087	115.14009
-31.89896	115.15432
-31.89896	115.15906
-31.92186	115.19788
-31.92591	115.20106
-31.9542	115.22652
-31.95959	115.2297
-31.97307	115.2297
-31.97441	115.2297
-31.99597	115.2297
-32.00136	115.22652
-32.00541	115.22493
-32.01888	115.2122
-32.02427	115.2122
-32.03236	115.20743
-32.03775	115.20424
-32.04853	115.20106
-32.05526	115.20106
-32.06335	115.20106
-32.06874	115.20106
-32.07952	115.19788
-32.08626	115.19311
-32.10108	115.17878
-32.10647	115.17401
-32.11725	115.17401
-32.12533	115.17401
-32.12937	115.17401
-32.14285	115.17401
-32.15228	115.17401
-32.15363	115.17401
-32.16171	115.17401
-32.16306	115.17083
-32.17654	115.16446
-32.18327	115.15969
-32.18462	115.15969
-32.19405	115.1581
-32.19944	115.15332
-32.20483	115.14855
-32.21157	115.14218
-32.21696	115.13741
-32.22235	115.13264
-32.22909	115.12468
-32.23178	115.12309
-32.24795	115.11354
-32.25469	115.11036
-32.26008	115.10718
-32.27221	115.10559
-32.27894	115.1024
-32.28299	115.10081
-32.30455	115.09286
-32.31263	115.09126
-32.31802	115.08808
-32.33554	115.0849
-32.34228	115.08172
-32.34497	115.08012
-32.35305	115.07376
-32.36249	115.06899
-32.36922	115.06262
-32.37731	115.05785
-32.40022	115.04353
-32.40695	115.03875
-32.41504	115.03398
-32.42312	115.0292
-32.42447	115.0292
-32.44603	115.02284
-32.45277	115.01807
-32.45816	115.01488
-32.49319	114.97669
-32.50128	114.97192
-32.51071	114.96396
-32.51879	114.96078
-32.52149	114.95601
-32.53092	114.95441
-32.53227	114.95441
-32.86779	114.72617
-32.88261	114.71175
-32.88665	114.70854
-32.90013	114.6861
-32.90552	114.6861
-32.92304	114.6861
-32.92843	114.68771
-32.94729	114.67168
-32.95268	114.66847
-32.96211	114.65726
-32.97289	114.65245
-32.97559	114.65245
-32.99715	114.63802
-33.00523	114.63642
-33.0241	114.6268
